name,age
"Carlsson, Mr. Carl Robert",24
"Zakarian, Mr. Mapriededer",26.5
"Schmidt, Mr. August",26
"Drapkin, Miss. Jennie",23
"Goodwin, Mr. Charles Frederick",40
"Goodwin, Miss. Jessie Allis",10
"Daniels, Miss. Sarah",33
"Ryerson, Mr. Arthur Larned",61
"Beauchamp, Mr. Henry James",28
"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""",42
"Vander Planke, Mr. Julius",31
"Hilliard, Mr. Herbert Henry",
"Davies, Mr. Evan",22
"Crafton, Mr. John Bertram",
"Lahtinen, Rev. William",30
"Earnshaw, Mrs. Boulton (Olive Potter)",23
"Matinoff, Mr. Nicola",
"Storey, Mr. Thomas",60.5
"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",36
"Asplund, Master. Filip Oscar",13
"Duquemin, Mr. Joseph",24
"Bird, Miss. Ellen",29
"Lundin, Miss. Olga Elida",23
"Borebank, Mr. John James",42
"Peacock, Mrs. Benjamin (Edith Nile)",26
"Smyth, Miss. Julia",
"Touma, Master. Georges Youssef",7
"Wright, Miss. Marion",26
"Pearce, Mr. Ernest",
"Peruschitz, Rev. Joseph Maria",41
"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",26
"Brandeis, Mr. Emil",48
"Ford, Mr. Edward Watson",18
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",
"Hellstrom, Miss. Hilda Maria",22
"Lithman, Mr. Simon",
"Zakarian, Mr. Ortin",27
"Dyker, Mr. Adolf Fredrik",23
"Torfa, Mr. Assad",
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40
"Brown, Miss. Edith Eileen",15
"Sincock, Miss. Maude",20
"Stengel, Mr. Charles Emil Henry",54
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",36
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",64
"McCrie, Mr. James Matthew",30
"Compton, Mr. Alexander Taylor Jr",37
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",18
"Lane, Mr. Patrick",
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",27
"Maybery, Mr. Frank Hubert",40
"Phillips, Miss. Alice Frances Louisa",21
"Davies, Mr. Joseph",17
"Sage, Miss. Ada",
"Veal, Mr. James",40
"Angle, Mr. William A",34
"Salomon, Mr. Abraham L",
"van Billiard, Master. Walter John",11.5
"Lingane, Mr. John",61
"Drew, Master. Marshall Brines",8
"Karlsson, Mr. Julius Konrad Eugen",33
"Spedden, Master. Robert Douglas",6
"Nilsson, Miss. Berta Olivia",18
"Baimbrigge, Mr. Charles Robert",23
"Rasmussen, Mrs. (Lena Jacobsen Solvang)",
"Murphy, Miss. Nora",
"Danbom, Master. Gilbert Sigvard Emanuel",0.33
"Astor, Col. John Jacob",47
"Quick, Miss. Winifred Vera",8
"Andrew, Mr. Frank Thomas",25
"Omont, Mr. Alfred Fernand",
"McGowan, Miss. Katherine",35
"Collett, Mr. Sidney C Stuart",24
"Rosenbaum, Miss. Edith Louise",33
"Delalic, Mr. Redjo",25
"Andersen, Mr. Albert Karvin",32
"Finoli, Mr. Luigi",
"Deacon, Mr. Percy William",17
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",60
"Andersson, Miss. Ida Augusta Margareta",38
"Head, Mr. Christopher",42
"Mahon, Miss. Bridget Delia",
"Wick, Mr. George Dennick",57
"Widener, Mrs. George Dunton (Eleanor Elkins)",50
"Thomson, Mr. Alexander Morrison",
"Duran y More, Miss. Florentina",30
"Reynolds, Mr. Harold J",21
"Cook, Mrs. (Selena Rogers)",22
"Karlsson, Mr. Einar Gervasius",21
"Candee, Mrs. Edward (Helen Churchill Hungerford)",53
"Moubarek, Mrs. George (Omine Amenia"" Alexander)""",
"Asplund, Mr. Johan Charles",23
"McNeill, Miss. Bridget",
"Everett, Mr. Thomas James",40.5
"Hocking, Mr. Samuel James Metcalfe",36
"Sweet, Mr. George Frederick",14
"Willard, Miss. Constance",21
"Wiklund, Mr. Karl Johan",21
"Linehan, Mr. Michael",
"Cumings, Mr. John Bradley",39
"Vendel, Mr. Olof Edvin",20
"Warren, Mr. Frank Manley",64
"Baccos, Mr. Raffull",20
"Hiltunen, Miss. Marta",18
"Douglas, Mrs. Walter Donald (Mahala Dutton)",48
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",55
"Christy, Mrs. (Alice Frances)",45
"Spedden, Mr. Frederic Oakley",45
"Hyman, Mr. Abraham",
"Johnston, Master. William Arthur Willie""""",
"Kenyon, Mr. Frederick R",41
"Karnes, Mrs. J Frank (Claire Bennett)",22
"Drew, Mr. James Vivian",42
"Hold, Mrs. Stephen (Annie Margaret Hill)",29
"Khalil, Mrs. Betros (Zahie Maria"" Elias)""",
"West, Miss. Barbara J",0.92
"Abrahamsson, Mr. Abraham August Johannes",20
"Clark, Mr. Walter Miller",27
"Salander, Mr. Karl Johan",24
"Wenzel, Mr. Linhart",32.5
"MacKay, Mr. George William",
"Mahon, Mr. John",
"Niklasson, Mr. Samuel",28
"Bentham, Miss. Lilian W",19
"Midtsjo, Mr. Karl Albert",21
"de Messemaeker, Mr. Guillaume Joseph",36.5
"Nilsson, Mr. August Ferdinand",21
"Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)""",29
"Klasen, Miss. Gertrud Emilia",1
"Portaluppi, Mr. Emilio Ilario Giuseppe",30
"Lyntakoff, Mr. Stanko",
"Chisholm, Mr. Roderick Robert Crispin",
"Warren, Mr. Charles William",
"Howard, Miss. May Elizabeth",
"Pokrnic, Mr. Mate",17
"McCaffry, Mr. Thomas Francis",46
"Fox, Mr. Patrick",
"Clark, Mrs. Walter Miller (Virginia McDowell)",26
"Lennon, Miss. Mary",
"Saade, Mr. Jean Nassr",
"Bryhl, Miss. Dagmar Jenny Ingeborg ",20
"Parker, Mr. Clifford Richard",28
"Faunthorpe, Mr. Harry",40
"Ware, Mr. John James",30
"Oxenham, Mr. Percy Thomas",22
"Oreskovic, Miss. Jelka",23
"Peacock, Master. Alfred Edward",0.75
"Fleming, Miss. Honora",
"Touma, Miss. Maria Youssef",9
"Rosblom, Miss. Salli Helena",2
"Dennis, Mr. William",36
"Franklin, Mr. Charles (Charles Fardon)",
"Snyder, Mr. John Pillsbury",24
"Mardirosian, Mr. Sarkis",
"Ford, Mr. Arthur",
"Rheims, Mr. George Alexander Lucien",
"Daly, Miss. Margaret Marcella Maggie""""",30
"Nasr, Mr. Mustafa",
"Dodge, Dr. Washington",53
"Wittevrongel, Mr. Camille",36
"Angheloff, Mr. Minko",26
"Laroche, Miss. Louise",1
"Samaan, Mr. Hanna",
"Loring, Mr. Joseph Holland",30
"Johansson, Mr. Nils",29
"Olsson, Mr. Oscar Wilhelm",32
"Malachard, Mr. Noel",
"Phillips, Mr. Escott Robert",43
"Pokrnic, Mr. Tome",24
"McCarthy, Miss. Catherine Katie""""",
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",64
"Allison, Mr. Hudson Joshua Creighton",30
"Aks, Master. Philip Frank",0.83
"Hays, Mr. Charles Melville",55
"Hansen, Mrs. Claus Peter (Jennie L Howard)",45
"Cacic, Mr. Jego Grga",18
"Vartanian, Mr. David",22
"Sadowitz, Mr. Harry",
"Carr, Miss. Jeannie",37
"White, Mrs. John Stuart (Ella Holmes)",55
"Hagardon, Miss. Kate",17
"Spencer, Mr. William Augustus",57
"Rogers, Mr. Reginald Harry",19
"Jonsson, Mr. Nils Hilding",27
"Jefferys, Mr. Ernest Wilfred",22
"Andersson, Mr. Johan Samuel",26
"Krekorian, Mr. Neshan",25
"Nesson, Mr. Israel",26
"Rowe, Mr. Alfred G",33
"Kreuchen, Miss. Emilie",39
"Assam, Mr. Ali",23
"Becker, Miss. Ruth Elizabeth",12
"Rosenshine, Mr. George (Mr George Thorne"")""",46
"Clarke, Mr. Charles Valentine",29
"Enander, Mr. Ingvar",21
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",48
"Dulles, Mr. William Crothers",39
"Thomas, Mr. Tannous",
"Nakid, Mrs. Said (Waika Mary"" Mowad)""",19
"Cor, Mr. Ivan",27
"Maguire, Mr. John Edward",30
"de Brito, Mr. Jose Joaquim",32
"Elias, Mr. Joseph",39
"Denbury, Mr. Herbert",25
"Betros, Master. Seman",
"Fillbrook, Mr. Joseph Charles",18
"Lundstrom, Mr. Thure Edvin",32
"Sage, Mr. John George",
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",58
"van Billiard, Master. James William",
"Abelseth, Miss. Karen Marie",16
"Botsford, Mr. William Hull",26
"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",38
"Giles, Mr. Ralph",24
"Walcroft, Miss. Nellie",31
"Greenfield, Mrs. Leo David (Blanche Strouse)",45
"Stokes, Mr. Philip Joseph",25
"Dibden, Mr. William",18
"Herman, Mr. Samuel",49
"Dean, Miss. Elizabeth Gladys Millvina""""",0.17
"Julian, Mr. Henry Forbes",50
"Brown, Mrs. John Murray (Caroline Lane Lamson)",59
"Lockyer, Mr. Edward",
"O'Keefe, Mr. Patrick",
"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",30
"Sage, Master. William Henry",14.5
"Mallet, Mrs. Albert (Antoinette Magnin)",24
"Ware, Mrs. John James (Florence Louise Long)",31
"Strilic, Mr. Ivan",27
"Harder, Mrs. George Achilles (Dorothy Annan)",25
"Sage, Mrs. John (Annie Bullen)",
"Caram, Mr. Joseph",
"Riihivouri, Miss. Susanna Juhantytar Sanni""""",22
"Gibson, Mrs. Leonard (Pauline C Boeson)",45
"Pallas y Castello, Mr. Emilio",29
"Giles, Mr. Edgar",21
"Wilson, Miss. Helen Alice",31
"Ismay, Mr. Joseph Bruce",49
"Harbeck, Mr. William H",44
"Dodge, Mrs. Washington (Ruth Vidaver)",54
"Bowen, Miss. Grace Scott",45
"Kink, Miss. Maria",22
"Cotterill, Mr. Henry Harry""""",21
"Hipkins, Mr. William Edward",55
"Asplund, Master. Carl Edgar",5
"O'Connor, Mr. Patrick",
"Foley, Mr. Joseph",26
"Risien, Mrs. Samuel (Emma)",
"McNamee, Mrs. Neal (Eileen O'Leary)",19
"Wheeler, Mr. Edwin Frederick""""",
"Herman, Miss. Kate",24
"Aronsson, Mr. Ernst Axel Algot",24
"Ashby, Mr. John",57
"Canavan, Mr. Patrick",21
"Palsson, Master. Paul Folke",6
"Payne, Mr. Vivian Ponsonby",23
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",51
"Abbott, Master. Eugene Joseph",13
"Gilbert, Mr. William",47
"Kink-Heilmann, Mr. Anton",29
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",18
"Colbert, Mr. Patrick",24
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",48
"Larsson-Rondberg, Mr. Edvard A",22
"Conlon, Mr. Thomas Henry",31
"Bonnell, Miss. Caroline",30
"Gale, Mr. Harry",38
"Gibson, Miss. Dorothy Winifred",22
"Carrau, Mr. Jose Pedro",17
"Frauenthal, Mr. Isaac Gerald",43
"Nourney, Mr. Alfred (Baron von Drachstedt"")""",20
"Ware, Mr. William Jeffery",23
"Widener, Mr. George Dunton",50
"Riordan, Miss. Johanna Hannah""""",
"Peacock, Miss. Treasteall",3
"Naughton, Miss. Hannah",
"Minahan, Mrs. William Edward (Lillian E Thorpe)",37
"Henriksson, Miss. Jenny Lovisa",28
"Spector, Mr. Woolf",
"Oliva y Ocana, Dona. Fermina",39
"Saether, Mr. Simon Sivertsen",38.5
"Ware, Mr. Frederick",
"Peter, Master. Michael J",
